@relation Race

@attribute id numeric
@attribute pilot string 
@attribute car string 
@attribute team string 
@attribute circuit string
@attribute day date "dd-MM-yyyy"
@attribute temperature numeric 
@attribute hundredths numeric 
@attribute rain {no,yes}
@attribute endUp {no,yes}
@attribute position numeric

@data
99,'O. Piastri','Mc23','McLaren','Miami',"07-05-2023",30,99.999,no,yes,19
100,'L. Sargent','W23','Williams','Miami',"07-05-2023",30,99.999,no,yes,20
101,'M. Verstappen','RB23','Red Bull','Miami',"28-05-23",20,0,yes,yes,1
102,'F. Alonso','AMR23','Aston Martin','Miami',"28-05-23",20,27.921,yes,yes,2
103,'E. Ocon','AL23','Alpine','Miami',"28-05-23",20,36.990,yes,yes,3
104,'L. Hamilton','M23','Mercedes','Miami',"28-05-23",20,56.284,yes,yes,4
105,'G. Russell','M23','Mercedes','Miami',"28-05-23",20,61.890,yes,yes,5
106,'C. Leclerc','F23','Ferrari','Miami',"28-05-23",20,62.362,yes,yes,6
107,'P. Gasly','AL23','Alpine','Miami',"28-05-23",20,63.391,yes,yes,7
108,'C. Sainz','F23','Ferrari','Miami',"28-05-23",20,99.999,yes,yes,8
109,'L. Norris','Mc23','McLaren','Miami',"28-05-23",20,99.999,yes,yes,9
110,'O. Piastri','Mc23','McLaren','Miami',"28-05-23",20,99.999,yes,yes,10
111,'V. Bottas','AR23','Alfa Romeo','Miami',"28-05-23",20,99.999,yes,yes,11
112,'N. de Vries','AT23','Alpha Tauri','Miami',"28-05-23",20,99.999,yes,yes,12
113,'G. Zhou','AR23','Alfa Romeo','Miami',"28-05-23",20,99.999,yes,yes,13
114,'A. Albon','W23','Williams','Miami',"28-05-23",20,99.999,yes,yes,14
115,'Y. Tsunoda','AT23','Alpha Tauri','Miami',"28-05-23",20,99.999,yes,yes,15
116,'S. Perez','RB23','Red Bull','Miami',"28-05-23",20,99.999,yes,yes,16
117,'N. Hulkenberg','H23','Haas','Miami',"28-05-23",20,99.999,yes,yes,17
118,'L. Sargent','W23','Williams','Miami',"28-05-23",20,99.999,yes,yes,18
119,'K. Magnussen','H23','Haas','Miami',"28-05-23",20,99.999,yes,no,19
120,'L. Stroll','AMR23','Aston Martin','Miami',"28-05-23",20,99.999,yes,no,20
121,'M. Verstappen','RB23','Red Bull','Spain',"04-06-32",23,0,no,yes,1
122,'L. Hamilton','M23','Mercedes','Spain',"04-06-32",23,24.090,no,yes,2
123,'G. Russell','M23','Mercedes','Spain',"04-06-32",23,32.389,no,yes,3
124,'S. Perez','RB23','Red Bull','Spain',"04-06-32",23,35.812,no,yes,4
125,'C. Sainz','F23','Ferrari','Spain',"04-06-32",23,45.689,no,yes,5
126,'L. Stroll','AMR23','Aston Martin','Spain',"04-06-32",23,63.320,no,yes,6
127,'F. Alonso','AMR23','Aston Martin','Spain',"04-06-32",23,64.127,no,yes,7
128,'E. Ocon','AL23','Alpine','Spain',"04-06-32",23,69.242,no,yes,8
129,'G. Zhou','AR23','Alfa Romeo','Spain',"04-06-32",23,71.878,no,yes,9
130,'P. Gasly','AL23','Alpine','Spain',"04-06-32",23,73.530,no,yes,10
131,'C. Leclerc','F23','Ferrari','Spain',"04-06-32",23,74.419,no,yes,11
132,'Y. Tsunoda','AT23','Alpha Tauri','Spain',"04-06-32",23,99.999,no,yes,12
133,'O. Piastri','Mc23','McLaren','Spain',"04-06-32",23,99.999,no,yes,13
134,'N. de Vries','AT23','Alpha Tauri','Spain',"04-06-32",23,99.999,no,yes,14
135,'N. Hulkenberg','H23','Haas','Spain',"04-06-32",23,99.999,no,yes,15
136,'A. Albon','W23','Williams','Spain',"04-06-32",23,99.999,no,yes,16
137,'L. Norris','Mc23','McLaren','Spain',"04-06-32",23,99.999,no,yes,17
138,'K. Magnussen','H23','Haas','Spain',"04-06-32",23,99.999,no,yes,18
139,'V. Bottas','AR23','Alfa Romeo','Spain',"04-06-32",23,99.999,no,yes,19
140,'L. Sargent','W23','Williams','Spain',"04-06-32",23,99.999,no,yes,20
141,'M. Verstappen','RB23','Red Bull','Canada',"18-06-2023",20,0,no,yes,1
142,'F. Alonso','AMR23','Aston Martin','Canada',"18-06-2023",20,9.570,no,yes,2
143,'L. Hamilton','M23','Mercedes','Canada',"18-06-2023",20,14.168,no,yes,3
144,'C. Leclerc','F23','Ferrari','Canada',"18-06-2023",20,18.648,no,yes,4
145,'C. Sainz','F23','Ferrari','Canada',"18-06-2023",20,21.540,no,yes,5
146,'S. Perez','RB23','Red Bull','Canada',"18-06-2023",20,51.028,no,yes,6
147,'A. Albon','W23','Williams','Canada',"18-06-2023",20,60.831,no,yes,7
148,'E. Ocon','AL23','Alpine','Canada',"18-06-2023",20,61.692,no,yes,8
149,'L. Stroll','AMR23','Aston Martin','Canada',"18-06-2023",20,64.402,no,yes,9
150,'V. Bottas','AR23','Alfa Romeo','Canada',"18-06-2023",20,64.432,no,yes,10
151,'O. Piastri','Mc23','McLaren','Canada',"18-06-2023",20,65.101,no,yes,11
152,'P. Gasly','AL23','Alpine','Canada',"18-06-2023",20,65.249,no,yes,12
153,'L. Norris','Mc23','McLaren','Canada',"18-06-2023",20,68.363,no,yes,13
154,'Y. Tsunoda','AT23','Alpha Tauri','Canada',"18-06-2023",20,73.423,no,yes,14
155,'N. Hulkenberg','H23','Haas','Canada',"18-06-2023",20,99.999,no,yes,15
156,'G. Zhou','AR23','Alfa Romeo','Canada',"18-06-2023",20,99.999,no,yes,16
157,'K. Magnussen','H23','Haas','Canada',"18-06-2023",20,99.999,no,yes,17
158,'N. de Vries','AT23','Alpha Tauri','Canada',"18-06-2023",20,99.999,no,yes,18
159,'G. Russell','M23','Mercedes','Canada',"18-06-2023",20,99.999,no,yes,19
160,'L. Sargent','W23','Williams','Canada',"18-06-2023",20,99.999,no,yes,20
161,'M. Verstappen','RB23','Red Bull','Austria',"02-06-23",23,0,no,yes,1
162,'C. Leclerc','F23','Ferrari','Austria',"02-06-23",23,5.155,no,yes,2
163,'S. Perez','RB23','Red Bull','Austria',"02-06-23",23,17.188,no,yes,3
164,'L. Norris','Mc23','McLaren','Austria',"02-06-23",23,26.327,no,yes,4
165,'F. Alonso','AMR23','Aston Martin','Austria',"02-06-23",23,30.317,no,yes,5
166,'C. Sainz','F23','Ferrari','Austria',"02-06-23",23,31.377,no,yes,6
167,'G. Russell','M23','Mercedes','Austria',"02-06-23",23,48.403,no,yes,7
168,'L. Hamilton','M23','Mercedes','Austria',"02-06-23",23,49.196,no,yes,8
169,'L. Stroll','AMR23','Aston Martin','Austria',"02-06-23",23,59.043,no,yes,9
170,'P. Gasly','AL23','Alpine','Austria',"02-06-23",23,67.667,no,yes,10
171,'A. Albon','W23','Williams','Austria',"02-06-23",23,79.767,no,yes,11
172,'G. Zhou','AR23','Alfa Romeo','Austria',"02-06-23",23,99.999,no,yes,12
173,'L. Sargent','W23','Williams','Austria',"02-06-23",23,99.999,no,yes,13
174,'E. Ocon','AL23','Alpine','Austria',"02-06-23",23,99.999,no,yes,14
175,'V. Bottas','AR23','Alfa Romeo','Austria',"02-06-23",23,99.999,no,yes,15
176,'O. Piastri','Mc23','McLaren','Austria',"02-06-23",23,99.999,no,yes,16
177,'N. de Vries','AT23','Alpha Tauri','Austria',"02-06-23",23,99.999,no,yes,17
178,'K. Magnussen','H23','Haas','Austria',"02-06-23",23,99.999,no,yes,18
179,'Y. Tsunoda','AT23','Alpha Tauri','Austria',"02-06-23",23,99.999,no,yes,19
180,'N. Hulkenberg','H23','Haas','Austria',"02-06-23",23,99.999,no,no,20
